name,similarity,acol,bcol
title_me,MONGE_ELKAN,1,1
title_qg3,QGRAM,1,1
author_me,MONGE_ELKAN,2,2
author_qg3,QGRAM,2,2
authorNum_num,NUM_SCORE,3,3
authorNum_exact,EXACT_MATCH,3,3
binding_me,MONGE_ELKAN,4,4
binding_qg3,QGRAM,4,4
publisher_me,MONGE_ELKAN,5,5
publisher_qg3,QGRAM,5,5
isbn_lev,LEVENSHTEIN,6,6
isbn_exact,EXACT_MATCH,6,6
pubYear_lev,LEVENSHTEIN,7,7
pubYear_exact,EXACT_MATCH,7,7
pubMonth_lev,LEVENSHTEIN,8,8
pubMonth_exact,EXACT_MATCH,8,8
pubDay_lev,LEVENSHTEIN,9,9
pubDay_exact,EXACT_MATCH,9,9
editionnum_lev,LEVENSHTEIN,10,10
editionnum_exact,EXACT_MATCH,10,10
pages_lev,LEVENSHTEIN,11,11
pages_exact,EXACT_MATCH,11,11
pages_num,NUM_SCORE,11,11
vol_exact,EXACT_MATCH,12,12
vol_lev,LEVENSHTEIN,12,12
vol_num,NUM_SCORE,12,12
lang_exact,EXACT_MATCH,13,13
lang_qg3,QGRAM,13,13
editioninfo_me,MONGE_ELKAN,14,14
editioninfo_qg3,QGRAM,14,14
